Date,Header,Content,sentiment_score,impact_score,relevance_score,confidence,short_term_score,medium_term_score,sentiment_momentum,sentiment_volatility,sentiment_trend
2021-02-22,"JP Morgan đánh giá cổ phiếu ngân hàng Việt Nam hấp dẫn nhất khu vực Asean: Gọi tên TCB, VPB và ACB","JP Morgan đánh giá cổ phiếu ngân hàng Việt Nam hấp dẫn nhất khu vực Asean: Gọi tên TCB, VPB và ACB",0.949186,0.949186,0.953152,0.953152,0.949186,0.304905,0.892641,0.316199,-0.215297
2021-03-03,JP Morgan đánh giá cổ phiếu ngân hàng Việt hấp dẫn nhất ASEAN,JP Morgan đánh giá cổ phiếu ngân hàng Việt hấp dẫn nhất ASEAN,0.964372,0.964372,0.969393,0.969393,0.964372,0.526435,0.015186,0.414498,-0.317659
2021-03-10,"JP Morgan, May Bank: TCB là cổ phiếu ngân hàng đáng kỳ vọng nhất 2021","JP Morgan, May Bank: TCB là cổ phiếu ngân hàng đáng kỳ vọng nhất 2021",0.981955,0.981955,0.986611,0.986611,0.981955,0.679059,0.017583,0.478964,-0.369102
2021-05-04,J.P. Morgan dự báo giá cổ phiếu TCB sẽ tăng lên 55.000 đồng,J.P. Morgan dự báo giá cổ phiếu TCB sẽ tăng lên 55.000 đồng,0.902249,0.902249,0.907215,0.907215,0.902249,0.753712,-0.079706,0.501381,-0.368911
2021-06-27,JPMorgan: Rủi ro ngắn hạn ‘ghìm’ giá Bitcoin,JPMorgan: Rủi ro ngắn hạn ‘ghìm’ giá Bitcoin,0.001927,0.001927,0.983031,0.983031,0.001927,0.502543,-0.900322,0.501781,-0.164663
2023-01-19,JPMorgan Equity Premium Income: Quỹ ETF hấp dẫn dành cho các nhà đầu tư tìm kiếm thu nhập,JPMorgan Equity Premium Income: Quỹ ETF hấp dẫn dành cho các nhà đầu tư tìm kiếm thu nhập,0.973807,0.973807,0.976611,0.976611,0.973807,0.659871,0.97188,0.517309,-0.246131
2023-05-07,"[Ông lớn đáng gờm] Ngân hàng JPMorgan Chase của ông trùm tài chính huyền thoại, người thao túng công nghiệp nước Mỹ","[Ông lớn đáng gờm] Ngân hàng JPMorgan Chase của ông trùm tài chính huyền thoại, người thao túng công nghiệp nước Mỹ",0.834465,0.834465,0.851963,0.851963,0.834465,0.718128,-0.139342,0.501663,-0.255378
2023-05-07,Vai trò của JPMorgan Chase trong cuộc khủng hoảng ngân hàng: Hiệp sĩ trong bộ áo giáp sáng chói hay kẻ chớp thời cơ khôn ngoan?,Vai trò của JPMorgan Chase trong cuộc khủng hoảng ngân hàng: Hiệp sĩ trong bộ áo giáp sáng chói hay kẻ chớp thời cơ khôn ngoan?,-0.347417,0.347417,0.601986,0.601986,-0.347417,0.362706,-1.181882,0.555015,0.007633
2023-05-07,JPMorgan Chase - Hiệp sĩ giải cứu vô số ngân hàng Mỹ hay kẻ cơ hội trục lợi từ khủng hoảng?,JPMorgan Chase - Hiệp sĩ giải cứu vô số ngân hàng Mỹ hay kẻ cơ hội trục lợi từ khủng hoảng?,-0.08944,0.08944,0.892382,0.892382,-0.08944,0.211922,0.257977,0.54293,0.106941
2023-05-19,Bí ẩn và hậu quả của việc JPMorgan Chase mua lại First Republic Bank,Bí ẩn và hậu quả của việc JPMorgan Chase mua lại First Republic Bank,-0.947905,0.947905,0.955436,0.955436,-0.947905,-0.174803,-0.858465,0.706916,0.354175
2023-05-25,JPMorgan phát triển AI để tư vấn tài chính cho khách hàng,JPMorgan phát triển AI để tư vấn tài chính cho khách hàng,0.822531,0.822531,0.829705,0.829705,0.822531,0.157708,1.770436,0.6975,0.091447
2023-07-21,JP Morgan: Giá mục tiêu cổ phiếu Masan (MSN) là 102.000 đồng/CP,JP Morgan: Giá mục tiêu cổ phiếu Masan (MSN) là 102.000 đồng/CP,0.054777,0.054777,0.924197,0.924197,0.054777,0.123393,-0.767754,0.676103,0.104948
2023-07-25,MSN được J.P Morgan định giá 102.000 đồng/cổ phiếu,MSN được J.P Morgan định giá 102.000 đồng/cổ phiếu,0.024463,0.024463,0.965531,0.965531,0.024463,0.090414,-0.030314,0.638489,0.116352
2023-07-25,"JPMorgan: ""Masan Group đang ở vị thế dẫn đầu một thị trường bán lẻ đầy tiềm năng""","JPMorgan: ""Masan Group đang ở vị thế dẫn đầu một thị trường bán lẻ đầy tiềm năng""",0.972344,0.972344,0.975644,0.975644,0.972344,0.384408,0.947881,0.647102,-0.097472
2023-07-26,J.P.Morgan Chase: 'Techcombank là một trong những ngân hàng sinh lợi cao nhất tại ASEAN',J.P.Morgan Chase: 'Techcombank là một trong những ngân hàng sinh lợi cao nhất tại ASEAN',0.982597,0.982597,0.98712,0.98712,0.982597,0.583812,0.010253,0.68207,-0.224712
2023-07-27,"J.P.Morgan Chase: ""Techcombank là một trong những ngân hàng sinh lợi cao nhất tại ASEAN""","J.P.Morgan Chase: ""Techcombank là một trong những ngân hàng sinh lợi cao nhất tại ASEAN""",0.982575,0.982575,0.987145,0.987145,0.982575,0.716737,-2.2e-05,0.682997,-0.293505
2023-09-05,BRICS: JP Morgan dự đoán tương lai của đồng đô la Mỹ,BRICS: JP Morgan dự đoán tương lai của đồng đô la Mỹ,0.020045,0.020045,0.969793,0.969793,0.020045,0.484502,-0.96253,0.664315,-0.102429
2023-09-07,"JPMorgan phát triển token mới, dùng để gửi tiền ngoài hệ thống","JPMorgan phát triển token mới, dùng để gửi tiền ngoài hệ thống",0.931275,0.931275,0.935915,0.935915,0.931275,0.633428,0.91123,0.66014,-0.195672
2023-09-15,"Cổ phiếu Arm bật tăng 25% trong phiên chào sàn Nasdaq, tỷ phú ""liều ăn nhiều"" trút bỏ gánh nặng sau loạt thương vụ đổ bể","Cổ phiếu Arm bật tăng 25% trong phiên chào sàn Nasdaq, tỷ phú ""liều ăn nhiều"" trút bỏ gánh nặng sau loạt thương vụ đổ bể",0.970526,0.970526,0.97575,0.97575,0.970526,0.745795,0.039251,0.662316,-0.254352
2023-10-17,"Jamie Dimon: sự nghiệp, tài sản và vai trò tại JPMorgan","Jamie Dimon: sự nghiệp, tài sản và vai trò tại JPMorgan",0.005969,0.005969,0.980836,0.980836,0.005969,0.499185,-0.964557,0.476124,-0.056393
2023-11-23,‘Sóng’ tiêu dùng cuối năm có khiến cổ phiếu ngành bán lẻ ‘dậy sóng’?,‘Sóng’ tiêu dùng cuối năm có khiến cổ phiếu ngành bán lẻ ‘dậy sóng’?,-0.671901,0.671901,0.685671,0.685671,-0.671901,0.108822,-0.67787,0.606952,0.222814
2023-11-29,Vì sao cô gái trẻ xinh đẹp 29 tuổi ngừng 'công việc trong mơ' của mình ở JPMorgan chỉ sau 2 năm làm việc?,Vì sao cô gái trẻ xinh đẹp 29 tuổi ngừng 'công việc trong mơ' của mình ở JPMorgan chỉ sau 2 năm làm việc?,-0.302462,0.302462,0.567157,0.567157,-0.302462,-0.028273,0.369439,0.640877,0.29696
2024-01-09,Chứng khoán Việt Nam nằm trong top 3 thị trường tiềm năng nhất châu Á,Chứng khoán Việt Nam nằm trong top 3 thị trường tiềm năng nhất châu Á,0.917578,0.917578,0.923578,0.923578,0.917578,0.287011,1.22004,0.646246,0.045834
2024-03-05,Vì sao J.P Morgan định giá cổ phiếu MSN 102.000 đồng trong năm 2024?,Vì sao J.P Morgan định giá cổ phiếu MSN 102.000 đồng trong năm 2024?,0.073887,0.073887,0.901862,0.901862,0.073887,0.21597,-0.843691,0.632635,0.091364
2024-03-21,"Biến động danh sách các “cá mập” nắm gần 80% vốn Vinamilk: Dragon Capital, Vanguard, các quỹ ETF mua mạnh; HSBC, Prudential, Citigroup, JPMorgan bán ra cả chục triệu cổ phiếu","Biến động danh sách các “cá mập” nắm gần 80% vốn Vinamilk: Dragon Capital, Vanguard, các quỹ ETF mua mạnh; HSBC, Prudential, Citigroup, JPMorgan bán ra cả chục triệu cổ phiếu",0.03761,0.03761,0.949632,0.949632,0.03761,0.156516,-0.036278,0.604397,0.124332
2024-03-21,JP Morgan tăng cổ tức sau khi đạt được lợi nhuận kỷ lục,JP Morgan tăng cổ tức sau khi đạt được lợi nhuận kỷ lục,0.976922,0.976922,0.981176,0.981176,0.976922,0.429985,0.939313,0.603686,-0.080987
2024-06-25,JPMorgan Chase- Thương hiệu tăng trưởng tốt,JPMorgan Chase- Thương hiệu tăng trưởng tốt,0.981694,0.981694,0.985998,0.985998,0.981694,0.613888,0.004772,0.630836,-0.203111
2024-06-29,Chiến lược gia JPMorgan: Nền kinh tế Mỹ đang trong một cuộc 'suy thoái có chọn lọc',Chiến lược gia JPMorgan: Nền kinh tế Mỹ đang trong một cuộc 'suy thoái có chọn lọc',0.004639,0.004639,0.979376,0.979376,0.004639,0.410805,-0.977056,0.61057,-0.03959
2024-07-01,JP Morgan dự đoán thị trường chứng khoán Mỹ sẽ sụp đổ nghiêm trọng,JP Morgan dự đoán thị trường chứng khoán Mỹ sẽ sụp đổ nghiêm trọng,-0.963083,0.963083,0.970382,0.970382,-0.963083,-0.047158,-0.967721,0.676995,0.28868
2024-07-02,CEO của JPMorgan: Đồng USD sẽ sớm mất giá và nỗ lực phi đô la hoá của BRICS càng khiến nhu cầu với đồng bạc xanh sụt giảm nghiêm trọng,CEO của JPMorgan: Đồng USD sẽ sớm mất giá và nỗ lực phi đô la hoá của BRICS càng khiến nhu cầu với đồng bạc xanh sụt giảm nghiêm trọng,-0.964267,0.964267,0.973114,0.973114,-0.964267,-0.352861,-0.001184,0.757657,0.477411
2024-07-22,Liệu đợt tăng giá của Bitcoin có tiếp tục không? JP Morgan đưa ra ý kiến,Liệu đợt tăng giá của Bitcoin có tiếp tục không? JP Morgan đưa ra ý kiến,0.008878,0.008878,0.974449,0.974449,0.008878,-0.232281,0.973145,0.719285,0.34563
2024-08-14,JPMorgan đang sở hữu trên 1% vốn tại MB,JPMorgan đang sở hữu trên 1% vốn tại MB,0.103373,0.103373,0.878905,0.878905,0.103373,-0.120396,0.094495,0.706829,0.23278
2024-08-14,Ông lớn ngân hàng Mỹ JPMorgan xuất hiện trong danh sách cổ đông sở hữu trên 1% vốn điều lệ MBBank,Ông lớn ngân hàng Mỹ JPMorgan xuất hiện trong danh sách cổ đông sở hữu trên 1% vốn điều lệ MBBank,0.385471,0.385471,0.59744,0.59744,0.385471,0.048226,0.282098,0.658286,0.090523
2024-08-14,J.P.Morgan Securities sở hữu hơn 1% vốn điều lệ MBB,J.P.Morgan Securities sở hữu hơn 1% vốn điều lệ MBB,0.092591,0.092591,0.88697,0.88697,0.092591,0.063015,-0.29288,0.658343,0.071284
2024-08-14,"J.P.Morgan nâng sở hữu tại MB lên 1,5%","J.P.Morgan nâng sở hữu tại MB lên 1,5%",0.054471,0.054471,0.930043,0.930043,0.054471,0.060167,-0.03812,0.658282,0.066444
2024-08-14,Ông lớn JPMorgan xuất hiện trong danh sách cổ đông sở hữu trên 1% vốn điều lệ MB,Ông lớn JPMorgan xuất hiện trong danh sách cổ đông sở hữu trên 1% vốn điều lệ MB,0.172289,0.172289,0.809868,0.809868,0.172289,0.097541,0.117818,0.579284,0.033464
2024-08-14,J.P.Morgan sở hữu trên 1% vốn MB,J.P.Morgan sở hữu trên 1% vốn MB,0.007573,0.007573,0.968981,0.968981,0.007573,0.067551,-0.164716,0.463971,0.051591
2024-08-21,"Cổ phiếu nhảy vọt 31% như tên lửa, vốn hoá Nvidia tăng 765 tỷ USD chỉ trong 8 ngày, lớn hơn cả vốn hoá của Tesla, JPMorgan, Walmart","Cổ phiếu nhảy vọt 31% như tên lửa, vốn hoá Nvidia tăng 765 tỷ USD chỉ trong 8 ngày, lớn hơn cả vốn hoá của Tesla, JPMorgan, Walmart",0.944616,0.944616,0.949894,0.949894,0.944616,0.359906,0.937043,0.572303,-0.161498
2024-08-30,"JPMorgan: Một khi Fed cắt giảm lãi suất, nhà đầu tư nào còn dồn toàn lực vào tài sản này sẽ bỏ lỡ những cơ hội lớn","TIN MỚI Trong giai đoạn Cục Dự trữ Liên bang Mỹ (Fed) thắt chặt chính sách, nợ chính phủ ngắn hạn có lợi suất cao. Nhưng JPMorgan cho biết các nhà đầu tư không thể phụ thuộc lâu hơn vào chiến lược “T-Bill and Chill”, tức dồn toàn lực mua trái phiếu chính phủ. Trái phiếu đáo hạn trong vòng vài tuần đến một năm đã trở thành khoản đầu tư phù hợp cho những nhà đầu tư thụ động, mong muốn kiếm tiền từ lãi suất cao. Vì tín phiếu kho bạc nhạy cảm với chính sách tiền tệ thắt chặt, lợi suất đã tăng hơn 5% kể từ năm 2022. Nhưng khi Fed gần như chắc chắn sẽ cắt giảm lãi suất vào tháng 9, JPMorgan cảnh báo các nhà đầu tư nên chuẩn bị tinh thần cho việc lợi suất giảm. Ngân hàng này dự kiến lợi suất trái phiếu ba tháng sẽ giảm từ 5,4% xuống 3,5% trong 18 tháng tới. Các nhà phân tích nói thêm rằng sự sụt giảm này có thể tăng mạnh hơn nếu nền kinh tế chậm lại nhiều hơn dự kiến. Tuy nhiên, việc gửi tiền vào nợ ngắn hạn có thể là thói quen khó bỏ đối với các nhà đầu tư. Các quỹ thị trường tiền tệ hoạt động đầu tư vào nợ ngắn hạn đã nhận được 106 tỷ USD chỉ riêng trong tháng 8, đẩy tổng tài sản lên mức cao kỷ lục 6.240 tỷ USD. Tuy nhiên, JPMorgan vẫn đề xuất các nhà đầu tư nên xem xét lại. Trong quá khứ, tín phiếu kho bạc có hiệu suất kém hơn so với trái phiếu dài hạn trong môi trường lãi suất giảm. Các nhà đầu tư có thể bỏ lỡ cơ hội nếu chỉ lựa chọn trái phiếu ngắn hạn. Các nhà phân tích của JPMorgan đưa ra lời khuyên tái cân bằng các khoản đầu tư dựa trên hướng đi của nền kinh tế. Các nhà đầu tư sẽ cần xác định lý do tại sao Fed cắt giảm lãi suất trước khi theo đuổi một chiến lược mới. Khi Fed nới lỏng chính sách do suy thoái, các nhà đầu tư nên tập trung vào các cổ phiếu vốn hóa lớn và tăng trưởng của Mỹ. JPMorgan cho biết cổ phiếu quốc tế, cũng như cổ phiếu giá trị và cổ phiếu vốn hóa nhỏ, thường chịu ảnh hưởng nhiều nhất. Khi Fed nới lỏng chính sách cùng với hạ cánh mềm (lạm phát giảm mà không gây suy thoái kinh tế), lợi nhuận của cổ phiếu vốn hóa lớn có xu hướng tăng gấp đôi so với cổ phiếu vốn hóa nhỏ. Trong khi đó, cổ phiếu tăng trưởng và giá trị của Mỹ có hiệu suất tương tự. Tài sản rủi ro và trái phiếu lợi suất cao có thể dẫn đến lợi nhuận dương. Theo MI Biên bản cuộc họp tháng 7 của Fed được công bố: Gần như chắc chắn sẽ cắt giảm lãi suất trong tháng 9",-0.153218,0.153218,0.605448,0.605448,-0.153218,0.188865,-1.097834,0.471845,-0.024195
2024-09-04,JPMorgan: Thật sai lầm khi tin rằng chứng khoán sẽ tăng ‘chưa từng có’ khi Fed cắt giảm lãi suất,"TIN MỚI Trong một nghiên cứu gần đây, các chiến lược gia của JPMorgan do Mislav Matejka đứng đầu cho biết, việc Fed chịu cắt giảm lãi suất một phần là để ứng phó với nền kinh tế đang chậm lại. Điều này có thể làm vô hiệu hoá những tác động tích cực đối với cổ phiếu. “Fed sẽ bắt đầu nới lỏng, như một phản ứng với tăng trưởng suy yếu. Điều này có thể không đủ để thúc đẩy mức tăng giá tiếp theo (của chứng khoán)”, các chiến lược gia viết. Ngoài ra, JPMorgan cho biết: ""Chúng ta vẫn chưa thoát khỏi khó khăn, tháng 9 thường là một giai đoạn đầy thách thức đối với cổ phiếu"". Quan điểm của JPMorgan trái ngược với các dự báo lạc quan cho rằng thị trường chứng khoán sẽ tăng sau khi Fed cắt giảm lãi suất. Chẳng hạn, nhà phân tích của Wells Fargo gần đây đã chỉ ra rằng cổ phiếu sẽ có một đợt tăng giá chưa từng thấy trong 30 năm sau khi Fed nới lỏng chính sách. Theo Giám đốc chiến lược đầu tư toàn cầu Paul Christopher, thị trường hiện tại có nhiều điểm tương đồng với giai đoạn năm 1995. Với việc Fed chủ động cắt giảm trong bối cảnh GDP ổn định, khả năng chứng khoán tăng giá có vẻ khả thi. Trong khi đó, chiến lược gia kỳ cựu Jim Paulson cho rằng động thái xoay trục của Fed sẽ mở cánh cửa cho một ""thị trường tăng giá chưa từng có"". Vì sau khi Fed cắt giảm lãi suất, tăng trưởng tiền tệ nhanh hơn, lợi suất trái phiếu giảm, thúc đẩy sự tự tin của lĩnh vực tư. Báo cáo việc làm phi nông nghiệp vào ngày 6/9 tới sẽ là thông tin đầu vào quan trọng tiếp theo cho Fed. Hiện Fed đang được dự đoán sẽ cắt giảm lãi suất 25 điểm cơ bản tại cuộc họp chính sách vào cuối tháng 9. Nếu báo cáo việc làm tháng 8 đặc biệt yếu, dư luận sẽ lại xuất hiện những lời kêu gọi cắt giảm lãi suất sâu hơn vào tháng 9 và tốc độ cắt giảm nhanh hơn trong hai cuộc họp còn lại trong năm nay. Theo MI TTCK Mỹ mở đầu tháng 9 chìm trong sắc đỏ, Dow Jones giảm hơn 600 điểm: Chuyện gì đang xảy ra?",-0.83248,0.83248,0.858054,0.858054,-0.83248,-0.151583,-0.679263,0.440711,0.220645
2024-09-05,"JPMorgan: Chuyện đồng USD mất đi thế thống trị toàn cầu là sai hoàn toàn, phi đô la hóa ở Trung Quốc đang bị ‘phóng đại’ quá mức","TIN MỚI Các nhận định cho rằng thế thống trị của đồng đô la Mỹ trong hệ thống tài chính toàn cầu đang đi đến hồi kết là sai hoàn toàn, ông lớn ngân hàng Mỹ JPMorgan khẳng định trong một báo cáo vào thứ Tư (4/9). Sự vươn lên của Trung Quốc và các lệnh trừng phạt kinh tế đối với những quốc gia như Nga có thể đã thúc đẩy xu hướng đa dạng hóa khỏi đồng đô la, JPMorgan nhận xét. Tuy vậy, sự thống trị của đồng bạc xanh vẫn vững chắc nhờ “tính chất cố hữu và cấu trúc” của nó. JPMorgan cho biết số tiền gửi ngân hàng bằng đô la Mỹ đang tăng lên ở các thị trường mới nổi, các quỹ đầu tư quốc gia và tài sản nước ngoài không thuộc dạng dự trữ. Tỷ trọng của đồng đô la Mỹ trong tổng nợ phải trả của thế giới vẫn đang tăng lên do số lượng phát hành nợ cao kỷ lục. Phi đô la hóa ở Trung Quốc có vẻ như đang bị “phóng đại” dù có cạnh tranh về địa chính trị, JPMorgan nhận đinh. Theo báo cáo, “sự xói mòn của thế thống trị của đồng đô la Mỹ có thể mất hàng thập kỷ”. Đồng thời, việc tỷ trọng đồng bạc xanh trong thương mại toàn cầu và tổng lượng dự trữ ngoại hối suy giảm không nên bị đánh đồng với quá trình phi đô la hóa”. Thị trường hàng hóa đang chứng kiến những thay đổi đáng kể. Ví dụ, các giao dịch dầu mỏ ngày càng được thực hiện bằng các loại tiền tệ không phải là đô la Mỹ. Các ngân hàng trung ương và người tiêu dùng ở các thị trường mới nổi có nhu cầu lớn đối với vàng. JPMorgan lập luận rằng “rủi ro bị đánh giá thấp nhất đối với quyền bá chủ của đồng đô la Mỹ” là khả năng hệ thống thanh toán quốc tế – nơi đồng đô la từ lâu đã nắm quyền lực tuyệt đối – bị phân mảnh. Trung Quốc và Ấn Độ là những nước dẫn đầu về đổi mới và thương mại điện tử. Trong khi đó, thị phần của Mỹ và Tây Âu hiện chỉ còn dưới 30%. Việc Washington áp dụng các biện pháp trừng phạt tài chính cứng rắn khiến Nga, Trung Quốc và các quốc gia khác đang xây dựng các giải pháp thay thế cho hệ thống thanh toán quốc tế SWIFT. Hàng chục ngân hàng trung ương đang thử nghiệm các phiên bản kỹ thuật số mới đối với đồng nội tệ. Việc này cũng có thể giúp họ ‘cắt đứt’ với hệ thống ngân hàng Mỹ dễ dàng hơn. “Khu vực tư nhân vẫn kiên định tin đồng đô la là một tài sản dự trữ giá trị”, báo cáo của JPMorgan cho biết. “Tuy nhiên, chúng ta đang chứng kiến sự đa dạng hóa lớn hơn và những thay đổi quan trọng trong các giao dịch xuyên biên giới do các lệnh trừng phạt đối với Nga, nỗ lực của Trung Quốc nhằm thúc đẩy việc sử dụng đồng nhân dân tệ và sự phân mảnh địa kinh tế”, báo cáo chỉ rõ. Theo Reuters﻿ 'Ngôi vương’ đồng đô la Mỹ bị đe dọa vì động thái của hàng loạt quốc gia, phương thức giao thương lâu đời nhất cũng ‘lọt vào tầm ngắm’",-0.95858,0.95858,0.967479,0.967479,-0.95858,-0.420582,-0.126099,0.550237,0.391176
2024-09-16,"Giám đốc JPMorgan cảnh báo về nguy cơ suy thoái, lạm phát cao","Giám đốc JPMorgan cảnh báo về nguy cơ suy thoái, lạm phát cao",-0.964568,0.964568,0.972427,0.972427,-0.964568,-0.601911,-0.005988,0.622827,0.482949
2024-09-18,Chiến lược gia của JPMorgan đưa ra nhận định 'gây sốc': 'Fed thực ra không cần phải cắt giảm lãi suất!',"TIN MỚI Trong tuần này, quyết định của Cục Dự trữ Liên bang (Fed) đối với quy mô cắt giảm lãi suất đang rất được thị trường mong đợi. Thị trường đang dự đoán 100% khả năng đợt hạ lãi suất sẽ diễn ra và chỉ đang tranh luận về mức độ cắt giảm. Tuy nhiên, chiến lược gia của JPMorgan cho biết việc Fed hạ lãi suất trên thực tế là không cần thiết vì nền kinh tế Mỹ vẫn tăng trưởng vững chắc. Nhà phân tích Oksana Aronov cho biết: “Tôi cho rằng việc cắt giảm lãi suất thậm chí là không cần thiết phải được cam kết, vì sự suy yếu trên diện rộng thực chất không có, ngoài những gì đang diễn ra trên thị trường lao động.” Aronov, trưởng bộ phận chiến lược thị trường thu nhập cố định phi truyền thống tại JPMorgan Asset Management, nhắc đến dữ liệu doanh số bán lẻ và tỷ lệ thất nghiệp Mỹ thấp kỷ lục. Bà cho biết, tỷ lệ thất nghiệp hiện là 4,3% “chắc chắn nằm trong” mục tiêu 5% của Fed. Theo Aronov, sự sụt giảm diễn ra gần đây chỉ đơn giản là thị trường lao động quay trở lại mức bình thường sau nhiều năm “nóng lên”. Dữ liệu kinh tế gần đây cho thấy tỷ lệ thất nghiệp tăng lên, bao gồm cả đợt tăng bất ngờ vào tháng 7 đã làm dấy lên mối lo ngại về suy thoái kinh tế. Aronov cũng cho biết doanh số bán lẻ và lợi nhuận ở mức cao mà các hãng bán lẻ như Walmart và Target ghi nhận là dấu hiệu cho thấy thị trường tiêu dùng vẫn vững chắc. Dữ liệu mới công bố cho thấy doanh số bán lẻ tăng 0,1% trong tháng 8, cao hơn mức dự báo là giảm 0,2%. Bà nói: “Nền kinh tế đang tiếp tục tăng trưởng. Thực tế là không có yếu tố nào đáng lo.” Aronov nói thêm, lãi suất thực ra không ở mức “chặt chẽ” như Fed nhận định. Thay vào đó, thị trường chỉ đơn giản là đã quen với việc ở trong môi trường lãi suất rất thấp trong những năm sau khủng hoảng tài chính và trong thời kỳ đại dịch - khi chính sách tiền tệ đi chệch hướng nhiều so với thông thường. Bà chỉ ra, đó là những gì chính sách tiền tệ phi truyền thống chưa từng có trong 15 năm ảnh hưởng đến thị trường. Chiến lược gia cảnh báo, hầu hết thị trường đều kỳ vọng rằng ngân hàng trung ương sẽ hạ lãi suất trong tuần này với mức 50 điểm cơ bản, động thái này có thể gây ra nguy cơ lạm phát tăng tốc trở lại. Bà nói thêm, việc hạ lãi suất cũng có thể sẽ không giải quyết được tình trạng biến động trên thị trường tín dụng và trái phiếu, vì chi phí đi vay vẫn chưa đủ thấp để thay đổi bảng cân đối kế toán của nhiều doanh nghiệp. Tham khảo BI﻿ Giới phân tích: Tài sản rủi ro 'mất nhiệt', thế giới đang bước vào 'siêu chu kỳ' hàng hoá kéo dài cả thập kỷ",0.135473,0.135473,0.838337,0.838337,0.135473,-0.356116,1.100041,0.604809,0.261508
